epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10015.4,1.39475,1.17592,1.33877,0.73374,0.67238,0.73992,0.42142,1.22534,1.44806,1.12069,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10315.1,1.4003,1.18843,1.33767,0.74833,0.67445,0.74481,0.42446,1.22442,1.54901,1.10999,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10597.3,1.38838,1.16514,1.3326,0.75218,0.67072,0.74589,0.42941,1.21809,1.42482,1.11209,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10897.3,1.39469,1.17403,1.33125,0.75197,0.67788,0.74534,0.42844,1.22711,1.47932,1.12447,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11196.8,1.38606,1.15877,1.32661,0.75737,0.66767,0.7422,0.42862,1.22968,1.45801,1.12039,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11497.2,1.37614,1.1407,1.32186,0.74499,0.67686,0.74543,0.42793,1.22438,1.37655,1.11728,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11796.5,1.3733,1.13903,1.31955,0.74759,0.67897,0.74961,0.43163,1.22822,1.38527,1.11852,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12096.2,1.36697,1.13659,1.31437,0.74165,0.69043,0.75249,0.43304,1.22104,1.38429,1.11569,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12395.8,1.36034,1.11921,1.30993,0.74685,0.68438,0.74937,0.43295,1.21739,1.33073,1.11309,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12695,1.36456,1.11964,1.30953,0.7594,0.68416,0.75348,0.43553,1.21211,1.283,1.10976,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12993.7,1.34892,1.11376,1.30569,0.75872,0.68415,0.75788,0.43748,1.21135,1.32292,1.10819,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13293.8,1.34226,1.09078,1.29681,0.75947,0.68678,0.76027,0.44079,1.20586,1.31949,1.10488,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13593.5,1.34218,1.0889,1.29874,0.76079,0.69836,0.76327,0.44268,1.20267,1.31289,1.10233,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13893.9,1.33897,1.07638,1.29317,0.75366,0.70728,0.76705,0.44446,1.20873,1.26882,1.10564,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14194.9,1.33354,1.07519,1.28943,0.75551,0.70129,0.76735,0.44518,1.20629,1.31705,1.10357,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14494.9,1.32652,1.06756,1.28688,0.76544,0.7029,0.76789,0.44483,1.21,1.29598,1.10615,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14795.1,1.3213,1.06227,1.28708,0.75257,0.70118,0.76531,0.44567,1.21183,1.2691,1.10844,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15095.3,1.3211,1.0537,1.27687,0.75766,0.70289,0.76694,0.44791,1.2072,1.29054,1.10482,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15395.4,1.31258,1.04655,1.27289,0.76166,0.70095,0.76835,0.44889,1.20083,1.28882,1.09892,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15694.6,1.31216,1.04582,1.27403,0.76245,0.70128,0.77149,0.45126,1.19956,1.31379,1.09787,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15994.1,1.31137,1.03548,1.27735,0.76352,0.7025,0.77107,0.45105,1.20063,1.31295,1.10018,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16293.8,1.29985,1.01892,1.26968,0.76402,0.71002,0.77294,0.45316,1.19632,1.29301,1.09814,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16592.5,1.29564,1.01402,1.26438,0.76207,0.70801,0.77438,0.45328,1.1958,1.26117,1.09787,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16891.5,1.30163,1.03085,1.26991,0.78051,0.69849,0.77294,0.45343,1.19545,1.23279,1.09763,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17194.4,1.29333,1.00451,1.26577,0.77745,0.7028,0.77302,0.45347,1.19716,1.23097,1.10072,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17493.8,1.28523,1.00514,1.25908,0.77967,0.69896,0.77368,0.45277,1.19828,1.21431,1.10093,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17794.3,1.27848,1.00086,1.25518,0.78894,0.69365,0.77485,0.45399,1.19921,1.19904,1.10089,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18093.4,1.27577,0.98594,1.24842,0.78234,0.69617,0.77507,0.45465,1.19808,1.20082,1.09873,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18394.1,1.27602,0.98345,1.24889,0.78646,0.69014,0.77455,0.45479,1.19747,1.19862,1.09926,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18693.2,1.27601,0.98034,1.24408,0.78411,0.69288,0.77492,0.45468,1.19692,1.19176,1.09922,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18993.3,1.25802,0.96573,1.23586,0.78513,0.69437,0.77408,0.4556,1.19548,1.19781,1.09889,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,19292.6,1.2605,0.96206,1.2406,0.77787,0.69947,0.775,0.45637,1.19573,1.18501,1.09927,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19591.3,1.25255,0.94593,1.23826,0.78121,0.69389,0.77435,0.45538,1.19551,1.1741,1.09941,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19892.5,1.24832,0.94178,1.23095,0.77827,0.69991,0.77525,0.45707,1.19622,1.16873,1.09901,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,20191.6,1.24592,0.94772,1.23029,0.7749,0.70449,0.77584,0.45644,1.19552,1.16107,1.09926,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,20491.3,1.24304,0.93998,1.22885,0.77924,0.70353,0.77629,0.45684,1.1953,1.15153,1.09956,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,20790.6,1.2343,0.92737,1.22233,0.7783,0.70695,0.77794,0.4578,1.19569,1.14193,1.1002,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21090.8,1.23347,0.9197,1.22108,0.77901,0.7056,0.77798,0.45776,1.19604,1.14082,1.09992,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,21389.9,1.22321,0.90278,1.21978,0.7839,0.70109,0.77899,0.45737,1.19515,1.13709,1.09954,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,21689,1.22811,0.90583,1.21407,0.7881,0.69975,0.77985,0.45885,1.19427,1.13117,1.09884,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22011.5,1.21848,0.89663,1.21114,0.7877,0.69748,0.77932,0.45809,1.19527,1.12559,1.09908,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,22315.4,1.20876,0.89167,1.20396,0.79269,0.69652,0.78042,0.45927,1.19454,1.11748,1.09868,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,22615.4,1.21238,0.88745,1.20359,0.78895,0.69957,0.78123,0.4595,1.19477,1.11364,1.09889,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,22914.8,1.20446,0.88027,1.20046,0.7895,0.7,0.7809,0.46002,1.19517,1.1058,1.0987,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,23214.2,1.19637,0.87786,1.19897,0.78806,0.69882,0.78032,0.45936,1.1956,1.09654,1.09965,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,23514.3,1.19484,0.87296,1.19396,0.79007,0.69882,0.78082,0.45986,1.1964,1.09458,1.10022,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,23814.7,1.18865,0.85967,1.18985,0.78269,0.70348,0.77969,0.45995,1.19644,1.08847,1.10063,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,24114.8,1.18349,0.86211,1.19012,0.78673,0.70391,0.7807,0.46077,1.19719,1.08374,1.10122,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,24413.5,1.17868,0.84805,1.18393,0.79454,0.69667,0.7804,0.4607,1.19743,1.0837,1.10142,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,24712.5,1.17966,0.84731,1.1811,0.79506,0.69632,0.78065,0.46046,1.19829,1.08189,1.10212,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,25012,1.17319,0.8352,1.18367,0.79291,0.69832,0.78119,0.4607,1.19864,1.08068,1.1028,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,25311.4,1.1765,0.84163,1.18905,0.79266,0.70065,0.78193,0.46083,1.1998,1.0786,1.10374,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,25611.3,1.17175,0.83556,1.17923,0.79355,0.70048,0.78155,0.46102,1.19997,1.07659,1.10423,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,25910.8,1.16561,0.8201,1.17789,0.7978,0.69808,0.78132,0.46084,1.19976,1.07445,1.10412,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,26212.4,1.15215,0.81088,1.16786,0.80067,0.69621,0.78194,0.46141,1.19934,1.07174,1.10411,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,26511.5,1.14666,0.81364,1.16561,0.79446,0.7001,0.78217,0.46141,1.19925,1.06855,1.10443,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,26810.9,1.14426,0.79821,1.16328,0.7992,0.69658,0.78242,0.46161,1.19955,1.06766,1.10484,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,27111.9,1.14789,0.79593,1.16198,0.79827,0.69855,0.78227,0.46181,1.19975,1.06403,1.10524,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,27414,1.1451,0.79061,1.16207,0.79921,0.69829,0.78226,0.46207,1.19947,1.06263,1.10509,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,27698,1.1551,0.73834,1.16696,0.80049,0.69897,0.78223,0.4626,1.20016,1.05867,1.10562,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,27980.1,1.1288,0.70992,1.15066,0.79989,0.69855,0.7824,0.46221,1.19992,1.05493,1.10595,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,28264.6,1.12129,0.70099,1.14939,0.79847,0.70108,0.78347,0.46247,1.20023,1.05228,1.10623,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,28551.4,1.10948,0.68777,1.14026,0.80057,0.70004,0.78394,0.46205,1.20074,1.04893,1.1069,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,28831.6,1.10331,0.68117,1.13521,0.80021,0.69966,0.78381,0.46262,1.20068,1.04455,1.10716,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,29182,1.10013,0.67516,1.13233,0.79929,0.6995,0.78341,0.46241,1.20103,1.04317,1.10795,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,29508.1,1.08722,0.67079,1.12872,0.80008,0.69972,0.78382,0.4621,1.20151,1.04068,1.10865,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,29788,1.08785,0.66692,1.1322,0.79911,0.70004,0.78308,0.46216,1.20185,1.03724,1.10929,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,30069.8,1.07928,0.65621,1.12061,0.80021,0.69998,0.78335,0.46219,1.20204,1.03439,1.10998,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,30348.8,1.07666,0.65311,1.12214,0.79885,0.70008,0.78333,0.46223,1.20267,1.03249,1.11059,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
